category,webseriesName,actressName,pictureUrl,bannerImageUrl
moodx,Leoni,Preeti puneet kaur;Imtiyaz,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgg4qWcpxE3oo77bGZNe5Peevl94xt23FphZF9uTEOpRegvWwOd7yyVQbJhmtPqLqWOOKCgvGWfWLI1WyY8xHp3weYi8ISkrsTJlOTjr-Ne8GICV35EeUn5Y-h1BHUw8E0MN63N8hKcVqAPl1OdAXpyI8wAA8XUIrpYTHDWkRCOvPBJVqrnTdvFMSAYB38/s0/1.jpeg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjRK-WsbNqCiGARdIKPaytxscX8punR5SHZI_WqS-kM-FaXSLzKS3zByD6TVcrm_O1famYufllgsCTQgpkCxgfz0HbL3DYvZtbmhrySVvZrTFDED6LAhO9CSbQS-rewAm9zc1AM4CLTTGEr3GCtpoS_5jZjqPtu5eBEPQu8GvKxs6lFgCjDg8-jwgcqs2U/s0/1.jpg
moodx,Chu Chor,Preeti puneet kaur,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgIJhUpQ7nsCAWwjk7x1LjLvYkliCYVBIIDOo4QFAvLMPBoCmfLtU8FC72ws5UT99k8SHelA4jfGKzpEkeVKCJAQ1V0wLoLaeQQeyAPq9w_0poDBj8OZnfbuRfyUZkY44q3mn8bLxQq2-JkH8RlV0fqS7qm1dM_9uHWNq6XaWvEVFD_sLd3yZDbJFu0Psg/s0/2.jpeg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiaIdtt1oeyqxOqdh3wd1aqhcST6vB4QW5EP1BoZzfsac5zICCCl8fCkqlixWEDW9q5PEX9-zOf8GOOFku6IfZLgXxXVwRcP7Hh898EbiTjRw0_l88GQVGw1qoAM1pSZXT-jMd0dLsUoYHn6njYAPUGGWuhF07rlxEcrprR_Ig3vipfMDRctQFQG_vv2-c/s0/2.jpg
moodx,Kaand wali,Jasleen aka Subhasmita panigrahi;Shakespeare,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg13NtPS9aFDdlPQaGdi8Z7uycc27QDubpbAcYenkhFrQmpdlvtY6w5QvwEv4OUKTGASIq4KnFN_PYGw_ChzPJLocT8i_eAyVggR7-QZBPjs-U08amILIkt5o3dlFZ6bXmCIz9nlBGUarM7gkSzE7fib3cPC3U5BFA09mitJugxvMmXMitYP5mBD4WCWAE/s0/3.jpeg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEidBarNUcdBia-HD8TqaEuZQDAj9YAh2KSqgAlBNffnewHmISV4w0450Su913Tk4vLi_pyK2huygaHz_X5ECQIchmSvClPuBI68d5M4rr6HIAzXHh1K9KkxHSsuCs3QuuEcHWekS7gjUFADW1Q_N0HlfCjbfy_HrYdq6VIt-qgpnUiUEDQNp7MF_wf5Fr0/s0/3.jpg
moodx,Kamar Tod,Soniya Maheshwari;Abhishek,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgWOAbjETN8d9f5x3j0ehy6_5WJFsvC-FFWl9g7yZ-wHcp9REBH0ta3YH-UdUwoU7mykHgLAR-t0yWO3F_mZTvLDBZMsMS0bX3nI7qp7CJXarIYtY4SSnWhKiUEr8zPH9J2KGJOBNFwy-g1Dp7Zg3gqTAeFJijomPbJG13UQs1GJp_SPJgNGdSot_C0BEU/s0/4.png,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEheRfT3OGUw9Y8UpQTqOR8ZrBqS0y5YVQAldWCPy3palDduHqfNja6WZwAPn2e-4PyUsMFrPeB8tp7p4jFIxpHJh2uCKqPrUgwPiJVoU3xYTuNpDOj7Zry1B1hthyphenhyphenIfxvUOC1fLIKmp_iE4Fog04cfQ6ZYmOB4lFV2xF1tUPPwuq2AHoDuufFftrWaRxOA/s0/4.jpg
moodx,Hawas Ki Raat,Preeti puneet kaur;Jasleen aka Subhasmita panigrahi;Shakespeare,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjnlYSydUOelgeMy01T1uw2gMV-8CObfcUtRpv6GhZLCGu9JOBGTvN3BsCZTmfpgUvSdlkTL55yi6C81pS2u3kavVyc0dwKwkWiPo5wj72D2BwGmp8cv3Kv9L5KZ-OMA8mnxqyyJZZ3Kf9rJMInZ-xEJyqxdlVk124HJT8rPmL5iNRw9gMMM0IERgiWiiQ/s0/5.png,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh_hD7H4tpA6QaN49N0UBS5lPK0Fh6xuMKTDTMAea3INz7gp-Ef86OLDE8x7ma37KT_sZBIxbcytKzEn5M0FXgMMq8mXuXD_bh_T2KQEQDboCJQWcpQxvhMGZSGV1YYYo6WT9lMwNv1jcsMMPxCjGqeCejDNM4lyoGQvJc48WZtn0zuJ03mPjMbV090srg/s0/5.jpg
moodx,Kulta Season1,Pihu Sharma (Pihu Kanojia);Pari Raj;Shakespeare,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgz9yQ-DkTgW7h51P80_4Qnk3SCQcu-WQSTAuqwHQ40830mpYIoh2yuZkBZVxYN7hOBcMoGrYhZPURjvbL-8mvdij1VqOy8omaBnZUFymiXW7UTr52WPwVt0UsfohpxIqeUlu5whAbdcG8CQ2z4klUTdb34ObQeBi8dmrzrEYLhC-fQDQD33f_CuA7vUfQ/s0/6.jpeg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg7e0osrYPNMOO47KSZKN75h26aHur3WUZNZezCpPYWlxO82C7aoO8TW_MRfw3v_3HbQk7dJxs4MWkR2RX-NxwAFzp8rhX6BxPqD0b4Wrn4pPjB7RM64sOe0XYhzQScw2V6_zi3AnIQqydlMZ8QXEZkED5en8_ULU0I8clyklRnApinTzAG1grIqACCYkM/s0/6.jpg
moodx,Buri Baat,Preeti puneet kaur; Pari Raj;Imtiyaz,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg1EmkxETOrlYdah69EEkQuozjwQrcIq-JRhAdgiXQkxHgBXOzSEtf9CzXsGkwy0_RZO-yTxDQ8erBwQwIFaX4lzrXp-TREk7cOVGDE-V8xsDjXil0JWrX0pY7zSRZWt7caOglSjgcuHIjRurXTDC0t5-TlQAf-ZKPchWBkRV1AHRDiyUnbHgm8KcoHf-Y/s0/7.jpeg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgFes34F6LIVEIyISiqEoVOR_Oz3AxLJURgQjogTYLCu3MQzHQt2R8R_QQdXqZPiaum19LM-S3wPW4xBnHTETHwJzv2LEy3kdi0wnHZ0yS8ffdjVzrgnlhAc1bTHkVY3HQ-YNtwmZ86IHd_NjxpF2PZDhkQAHTnT7n94tT_1Fd-7QA8412gYww7CiMUhr8/s0/7.jpg
moodx,Kulta season2 ,Sunita Rajput; Sapna Sharma; Zoya Rathore;Shakespeare;Vikas Sachdeva,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhDD84mPNqoGOUEnwTDF042cHBox2TeINOx47sNBCTflkToapSNi1KCqnhkU5ofM0qa2iufqwXayKiMORxHL6xaSwtL5JyI4AYpvsbl8sUqAuuOqhbo1mP31n7qBn8qgUGX0tj0DZy7uNyHD2gArbUI2eXL91vOlQeewh0RINKG-6iTX-FV3xgBiWPXEd8/s0/8.jpeg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiCoFSWyH-NSOBhHVxzpdmm8kV7z6GDHr0csAYisqAJUDU_ttyMyIBL9c4C1XjY3o97BDO2PZh_PVkFU7tKwRPeMKskgPsbr9Xz0jNwdoPk17jYqrHAf7Aivis43iuJcNrQsYuEKnO9VSCBoIwwzF_G9BjqbQWZB1jHSGVzKq5Mu-XVDoPVSvzucHoonDg/s0/8.jpg
moodx,Haramkhor,Simran Kapoor; Sapna Sharma;Shakespeare;Salman,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEilm8NWdE-YI2OqpcIj143iF6QHmJmExnFoDUl3xBivdS-GznjlgNPJprBAD1nFmOcCEgWRWnnLQxp6_qAiXG3tA8-jiFmH48q8EoSVVJZ5RxWMH0lGE29JRYBcLJ2X5jkbgB6_Y0mlbqUxdnDczi-i0ozfnLqBvK67yuSmc6jfyaIzokuyNHD-nTpIPng/s0/9.jpeg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgzbbWP_T8LXzktMC3W1Gvd78Y3_VTuY4wRPs1hFd8FhW0_i21yyQKgcxJUlbhGUM7dUDQEnF9nzEK4k3VpUaLrSSOAS7YO5SVPNHpBy5fWFP9jQe3_CgvXHMmWNkKHII85EGuhgWroO5W1YsOJErRdwxOKiqwPHa_PwozBd6e7wTBteX1ii17aMJL8dwk/s0/9.jpg
moodx,Kulta season 3,Pihu Sharma (Pihu Kanojia); Neha aka Nikku Verma;Shakespeare;Sanjay Mourya,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjmodoA0PSQr7kWf-cBQwZ6ErVqVl8_ANdCEO3Z55J95KcST-UqDPj9ldRzkwFXNXIll2w0bOPhjsRwSQbcCbuj6Taie8TGJN-afuKMGqcZuNafx5yVAvQgcnmz4pgsnIGriIHn74FvvEOym5iXi7nsJlQTBj_oz34fzXcdtfKIwiy5vZ7Qe7U9Mno8EBM/s0/10.jpeg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhVUxAkGWYR5F16oJ2HWcNHfXwga9QVqjIxBgwMySq44QnXJXY7_zuV7Q-MtJ7bRhlokneEa7F7t5cXNZMb6W6PRVeuB9YyHJnezZpIjiChopkbUQ_U4J3V2jwlIPyvf9Ik6fiNwmB2xd14_XQtrLCRNHi0UQf9XHK-FCXweuMC4a3Qhxj4eafr2i_evuU/s0/10.jpg
